record_id,source,name_as_given,native_script,country,note
N001,kyc,Mohammed Al-Rashid,محمد الراشد,AE,common English transliteration
N002,wires,Muhammad Al Rashid,محمد الراشد,SA,same Arabic name different English spelling
N003,registry,Mohamed Alrashid,محمد الراشد,EG,no hyphen no space
N004,kyc,Xi Jinping,习近平,CN,pinyin family-name-first
N005,wires,Jinping Xi,习近平,CN,western reordered given-first
N006,registry,Hsi Chin-ping,习近平,TW,Wade-Giles transliteration
N007,kyc,Maria Garcia Lopez,,ES,two Spanish surnames paternal then maternal
N008,wires,Maria Garcia,,ES,maternal surname dropped
N009,kyc,Ivan Petrovich Sidorov,Иван Петрович Сидоров,RU,given patronymic surname
N010,wires,Ivan Sidorov,Иван Сидоров,RU,patronymic dropped
N011,kyc,Park Ji-sung,박지성,KR,Korean family-name-first hyphenated given
N012,wires,Jisung Park,박지성,KR,romanised no hyphen given-first
